trial,category,utterance,expected_action,expected_argument,predicted_action,predicted_argument,correct,latency_seconds,raw_command,error
1,direct,Go to Room 1.,goto_room,1,goto_room,1,True,1.394,"{""action"": ""goto_room"", ""room"": 1}",
2,paraphrase,Could you check room three please?,goto_room,3,goto_room,3,True,0.656,"{""action"": ""goto_room"", ""room"": 3}",
3,paraphrase,Head over to the fourth room.,goto_room,4,goto_room,4,True,0.530,"{""action"": ""goto_room"", ""room"": 4}",
4,paraphrase,Make your way to room six.,goto_room,6,goto_room,6,True,0.563,"{""action"": ""goto_room"", ""room"": 6}",
5,paraphrase,Please visit the second room.,goto_room,2,goto_room,2,True,0.524,"{""action"": ""goto_room"", ""room"": 2}",
6,paraphrase,Navigate to the fifth room when ready.,goto_room,5,goto_room,5,True,0.598,"{""action"": ""goto_room"", ""room"": 5}",
7,follow_up,Go to Room 3.,goto_room,3,goto_room,3,True,0.523,"{""action"": ""goto_room"", ""room"": 3}",
8,follow_up,Please go there again.,goto_room,3,goto_room,3,True,0.684,"{""action"": ""goto_room"", ""room"": 3}",
9,invalid,Go to Room 99.,chat,,chat,,True,0.911,"{""action"": ""chat"", ""reply"": ""I can only navigate to Rooms 1 through 6. Room 99 does not exist in this house.""}",
10,invalid,Take me to Room 0.,chat,,chat,,True,1.016,"{""action"": ""chat"", ""reply"": ""I can only navigate to Rooms 1 through 6. Room 0 does not exist in this house.""}",
11,invalid,Navigate to Room 7.,chat,,chat,,True,0.852,"{""action"": ""chat"", ""reply"": ""I can only navigate to Rooms 1 through 6. Room 7 does not exist in this house.""}",
12,out_of_scope,Do a backflip.,chat,,chat,,True,0.925,"{""action"": ""chat"", ""reply"": ""I cannot do a backflip. I am a wheeled ground robot and can only navigate on the floor.""}",
13,out_of_scope,Fly upstairs.,chat,,chat,,True,1.055,"{""action"": ""chat"", ""reply"": ""I cannot fly or go upstairs. I am a wheeled ground robot and can only navigate on the floor to Rooms 1 through 6.""}",
14,out_of_scope,What will tomorrow's weather be?,chat,,chat,,True,0.819,"{""action"": ""chat"", ""reply"": ""I don't have access to weather forecasts or external information like tomorrow's weather.""}",
15,capability,What can you see?,describe,,describe,,True,0.500,"{""action"": ""describe""}",
16,capability,Describe the current room.,describe,,describe,,True,0.601,"{""action"": ""describe""}",
17,capability,Move towards the cup.,approach,cup,approach,cup,True,0.564,"{""action"": ""approach"", ""object"": ""cup""}",
18,capability,Approach the ball.,approach,ball,approach,ball,True,0.537,"{""action"": ""approach"", ""object"": ""ball""}",
19,capability,Stop moving immediately.,stop,,stop,,True,0.502,"{""action"": ""stop""}",
20,chat,"Hello, how are you?",chat,,chat,,True,0.954,"{""action"": ""chat"", ""reply"": ""Hello! I'm functioning well and ready to assist you with navigating the house or answering questions about what I see.""}",
